fun	type	Afr	Amh	Grc	Ara	Eus	Bul	Cat	Chi	Hrv	Cze	Dan	Dut	Gus	Eng	Est	Fin	Fre	Ger	Gre	Heb	Hin	Hun	Ice	Ina	Ita	Jpn	Kam	Kor	Lat	Lav	Lit	May	Mlt	Mon	Nep	Nor	Nno	Pes	Pol	Por	Pnb	Ron	Cgg	Rus	Snd	Slo	Slv	Som	Spa	Swa	Swe	Tam	Tel	Tha	Tur	Ukr	Urd	Zul
AAnter	Ant	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	-	+	+
ASimul	Ant	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+
AdAP	AdA -> AP -> AP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+
AdAdv	AdA -> Adv -> Adv	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	+	+	+	+	-	+	+	+	-	+	+
AdNum	AdN -> Card -> Card	+	-	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+	+	-	-	+	+	+	+	+
AdVVP	AdV -> VP -> VP	+	-	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
AdVVPSlash	AdV -> VPSlash -> VPSlash	-	-	-	+	+	+	+	+	-	-	+	-	-	+	-	+	+	+	+	-	+	-	+	-	+	+	-	+	+	-	-	-	+	+	+	+	+	-	-	+	-	-	+	+	-	-	-	-	+	-	+	-	+	-	-	-	+	+
AddAdvQVP	QVP -> IAdv -> QVP	-	-	-	+	-	-	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	-	+	-	+	+	+	-	-	-	-	-	+	+	+	+	+	-	-	+	-	-	-	-	-	-	-	-	+	-	+	-	+	-	-	-	-	+
AdjCN	AP -> CN -> CN	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+
AdjDAP	DAP -> AP -> DAP	-	-	-	-	+	+	+	-	-	-	+	-	+	+	+	-	+	-	-	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	+	+	-	-	+	-	-	+	+	-	-	-	-	+	+	+	-	-	-	+	-	-	+
AdjOrd	Ord -> AP	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	-	+	+	+	+	+	+
AdnCAdv	CAdv -> AdN	+	-	-	+	-	+	+	+	+	-	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	+	+	-	+	+	+	+	+	+
AdvAP	AP -> Adv -> AP	-	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	-	+	+	+	-	+	+	-	+	+	+	+	+	+	+	-	+	-	-	-	+	-	+	+	-	+	+	+	-	+	-	+	+	+	+
AdvCN	CN -> Adv -> CN	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	+	+
AdvIAdv	IAdv -> Adv -> IAdv	+	-	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
AdvIP	IP -> Adv -> IP	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
AdvImp	Adv -> Imp -> Imp	-	-	-	-	-	+	+	-	-	-	+	-	-	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-	+	-	+	-	+	-	-	-	-	+
AdvNP	NP -> Adv -> NP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	+	+
AdvQVP	VP -> IAdv -> QVP	-	-	-	+	-	-	+	-	-	-	+	-	+	+	-	-	+	-	+	+	-	-	+	-	+	+	+	-	-	-	-	-	+	+	+	+	+	-	-	+	-	-	-	-	-	-	-	-	+	-	+	-	+	-	-	-	-	+
AdvS	Adv -> S -> S	+	+	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
AdvSlash	ClSlash -> Adv -> ClSlash	+	-	-	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	-	+	+	+	+	-	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
AdvVP	VP -> Adv -> VP	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
AdvVPSlash	VPSlash -> Adv -> VPSlash	-	-	-	-	+	+	+	+	-	-	+	-	-	+	+	+	+	+	+	-	+	+	+	-	+	+	-	+	+	-	-	-	+	+	+	+	+	-	-	+	-	-	+	+	-	-	-	+	+	-	+	-	+	-	-	-	+	+
ApposCN	CN -> NP -> CN	+	+	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	-	+	-	-	+	+	+	+	+
BaseAP	AP -> AP -> ListAP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+
BaseAdV	AdV -> AdV -> ListAdV	-	-	-	-	+	+	-	-	-	-	-	-	+	+	+	+	-	-	-	+	-	+	+	-	-	+	+	+	-	-	-	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	+	-	+	-	-	+
BaseAdv	Adv -> Adv -> ListAdv	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+
BaseCN	CN -> CN -> ListCN	-	-	+	+	+	+	+	+	-	-	+	-	+	+	+	+	+	+	+	+	-	-	+	-	+	+	+	-	-	-	-	-	+	+	-	+	+	+	-	+	-	-	-	+	-	-	-	-	+	+	+	-	+	-	+	-	-	+
BaseDAP	DAP -> DAP -> ListDAP	-	-	-	-	+	-	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	+	-	-	-	-	-	+	+	-	+	-	-	-	-	+
BaseIAdv	IAdv -> IAdv -> ListIAdv	-	-	-	-	+	+	+	-	-	-	+	-	+	+	+	+	+	-	+	+	-	+	+	-	+	+	+	+	-	-	-	-	+	+	-	+	+	-	-	+	-	-	-	+	-	-	-	-	+	+	+	-	+	-	-	-	-	+
BaseNP	NP -> NP -> ListNP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+
BaseRS	RS -> RS -> ListRS	+	-	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+
BaseS	S -> S -> ListS	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	-	+	+	+	-	+	+	+	+	+	+
CAdvAP	CAdv -> AP -> NP -> AP	+	+	-	-	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	+	+	-	+	+	+	-	+	+
CleftAdv	Adv -> S -> Cl	+	-	+	+	-	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
CleftNP	NP -> RS -> Cl	+	-	+	-	-	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	-	+	+	-	-	-	+	-	+	-	+	+	+	-	+	+
CompAP	AP -> Comp	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
CompAdv	Adv -> Comp	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
CompCN	CN -> Comp	+	-	+	+	+	+	+	+	-	-	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	-	+	-	+	+	+	-	+	+
CompIAdv	IAdv -> IComp	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
CompIP	IP -> IComp	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	-	+	-	+	+	+	-	+	+
CompNP	NP -> Comp	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+
